id,age,sex,race,hispanic,born,degree,marital,childs,wrkstat,income16,class,relig,attend,partyid,polviews,region,weight
2118,51,female,white,not hispanic,yes,associate/junior college,divorced,2,working full time,"$22,500 to $24,999",working class,protestant,about once or twice a year,"independent (neither, no response)","moderate, middle of the road",south,0.5247
2119,78,female,white,not hispanic,yes,high school,widowed,4,retired,"$30,000 to $34,999",middle class,other,every week,strong republican,extremely conservative,south,0.4831
2120,37,male,white,not hispanic,yes,high school,married,2,working full time,"$130,000 to $149,999",middle class,catholic,about once or twice a year,not very strong republican,"moderate, middle of the road",south,1.2626
2121,27,female,white,"another hispanic, latino, or spanish origin",yes,high school,married,1,"with a job, but not at work because of temporary illness, vacation, strike","$60,000 to $74,999",working class,protestant,never,not very strong republican,conservative,south,1.281
2122,34,female,other,"another hispanic, latino, or spanish origin",no,less than high school,married,4,"unemployed, laid off, looking for work","$10,000 to $12,499",working class,catholic,nearly every week,"independent, close to democrat",conservative,south,5.1007
2123,71,female,white,not hispanic,yes,high school,married,2,retired,,working class,none,less than once a year,"independent (neither, no response)","moderate, middle of the road",south,2.6512
2124,62,female,white,not hispanic,yes,high school,never married,0,other,,lower class,none,about once or twice a year,,,south,1.0495
2125,23,female,white,not hispanic,yes,high school,never married,0,working full time,"$170,000 or over",working class,protestant,never,not very strong republican,"moderate, middle of the road",south,1.9861
2126,34,male,white,"mexican, mexican american, chicano/a",yes,high school,married,1,working full time,"$60,000 to $74,999",working class,catholic,never,strong republican,extremely conservative,south,1.0872
2127,44,female,white,not hispanic,yes,less than high school,never married,0,working full time,"$25,000 to $29,999",working class,none,about once or twice a year,"independent (neither, no response)","moderate, middle of the road",south,0.4659
2128,60,female,white,not hispanic,yes,high school,widowed,0,retired,"$20,000 to $22,499",middle class,buddhism,less than once a year,"independent, close to republican",slightly conservative,south,0.5247
2129,25,male,white,not hispanic,yes,high school,never married,0,working full time,"$35,000 to $39,999",lower class,none,never,"independent (neither, no response)","moderate, middle of the road",south,2.2591
2130,75,female,white,not hispanic,yes,associate/junior college,divorced,0,working full time,"$50,000 to $59,999",working class,protestant,several times a year,"independent, close to republican",slightly conservative,south,0.4831
2131,51,male,white,not hispanic,yes,high school,married,2,working full time,"$170,000 or over",working class,protestant,never,strong republican,extremely conservative,south,2.6825
2132,58,female,white,not hispanic,yes,high school,married,2,working full time,"$170,000 or over",middle class,protestant,several times a week,strong republican,extremely conservative,south,1.1791
2133,30,female,other,not hispanic,yes,associate/junior college,never married,0,working full time,"$50,000 to $59,999",upper class,catholic,nearly every week,"independent (neither, no response)",slightly liberal,west,0.5683
2134,59,female,other,not hispanic,no,high school,married,1,other,"$60,000 to $74,999",middle class,buddhism,never,"independent, close to republican","moderate, middle of the road",west,1.0832
2135,65,female,other,not hispanic,no,associate/junior college,married,1,retired,"$50,000 to $59,999",working class,protestant,every week,not very strong republican,conservative,west,0.4438
2136,61,male,other,not hispanic,yes,less than high school,never married,0,working full time,"$40,000 to $49,999",lower class,catholic,2-3 times a month,not very strong republican,"moderate, middle of the road",west,0.5186
2137,68,male,white,not hispanic,yes,bachelor's,married,3,working part time,"$170,000 or over",upper class,none,never,"independent, close to democrat",liberal,west,0.8023
2138,64,male,other,not hispanic,yes,graduate,never married,0,working full time,"$60,000 to $74,999",middle class,protestant,several times a year,strong republican,conservative,west,0.4513
2139,42,female,black,not hispanic,yes,high school,divorced,5,"unemployed, laid off, looking for work","$75,000 to $89,999",working class,none,never,"independent (neither, no response)",liberal,west,0.6577
2140,,male,other,not hispanic,yes,associate/junior college,married,1,working full time,"$75,000 to $89,999",middle class,protestant,about once or twice a year,"independent, close to republican",slightly conservative,west,2.8659
2141,26,male,other,not hispanic,no,high school,never married,0,working full time,"$60,000 to $74,999",lower class,catholic,less than once a year,"independent (neither, no response)","moderate, middle of the road",west,2.0754
2142,,male,,,yes,high school,divorced,,working full time,"$50,000 to $59,999",middle class,catholic,never,"independent (neither, no response)","moderate, middle of the road",west,1.5294
2143,27,male,other,not hispanic,no,high school,married,1,in school,"$130,000 to $149,999",working class,hinduism,about once or twice a year,"independent (neither, no response)","moderate, middle of the road",west,1.5545
2144,60,female,other,not hispanic,yes,high school,separated,2,working full time,"$60,000 to $74,999",working class,christian,every week,"independent, close to democrat","moderate, middle of the road",west,0.7529
2145,25,female,black,not hispanic,yes,bachelor's,married,0,working full time,"$40,000 to $49,999",working class,none,about once or twice a year,"independent (neither, no response)","moderate, middle of the road",west,2.8473
2146,32,male,other,not hispanic,yes,associate/junior college,married,1,working full time,"$60,000 to $74,999",middle class,catholic,several times a year,"independent, close to republican",conservative,west,0.9058
2147,48,female,other,not hispanic,yes,high school,married,4,working full time,"$110,000 to $129,999",working class,catholic,2-3 times a month,other party,"moderate, middle of the road",west,1.7606
2148,85,female,other,not hispanic,yes,high school,widowed,2,retired,,middle class,buddhism,several times a year,"independent (neither, no response)",conservative,west,1.3445
2149,45,male,other,not hispanic,no,high school,married,1,working full time,"$170,000 or over",middle class,catholic,2-3 times a month,"independent (neither, no response)","moderate, middle of the road",west,2.1526
2150,,male,white,not hispanic,yes,graduate,married,1,retired,"$90,000 to $109,999",middle class,protestant,less than once a year,not very strong democrat,liberal,west,0.7612
2151,64,male,other,not hispanic,yes,bachelor's,married,0,retired,"$40,000 to $49,999",middle class,catholic,about once a month,strong democrat,"moderate, middle of the road",west,3.3019
2152,73,male,other,not hispanic,yes,high school,never married,0,retired,"$30,000 to $34,999",working class,,less than once a year,"independent (neither, no response)","moderate, middle of the road",west,0.4697
2153,69,female,other,not hispanic,yes,bachelor's,never married,0,working full time,"$90,000 to $109,999",middle class,catholic,several times a year,strong democrat,slightly liberal,west,0.7305
2154,,male,other,not hispanic,yes,high school,never married,0,retired,"$90,000 to $109,999",working class,other,about once or twice a year,not very strong democrat,"moderate, middle of the road",west,0.4697
2155,68,male,other,not hispanic,yes,graduate,,2,working part time,"$170,000 or over",upper class,protestant,less than once a year,strong republican,extremely conservative,west,4.0586
2156,65,male,other,not hispanic,yes,high school,married,2,working full time,"$150,000 to $169,999",working class,catholic,about once or twice a year,strong democrat,liberal,west,1.5831
2157,58,male,other,not hispanic,yes,high school,married,3,working full time,"$170,000 or over",working class,catholic,about once or twice a year,"independent (neither, no response)",liberal,west,1.9245
2158,,male,other,not hispanic,yes,graduate,never married,0,retired,,middle class,none,never,"independent, close to democrat","moderate, middle of the road",west,1.3529
