id,age,sex,race,hispanic,born,degree,marital,childs,wrkstat,income16,class,relig,attend,partyid,polviews,region,weight
1,33,male,black,not hispanic,yes,bachelor's,never married,2,working full time,"$110,000 to $129,999",middle class,protestant,every week,not very strong democrat,"moderate, middle of the road",northeast,2.3695
2,64,male,white,not hispanic,yes,graduate,never married,0,retired,"$60,000 to $74,999",middle class,protestant,never,strong democrat,slightly liberal,northeast,1.3912
3,69,female,white,not hispanic,yes,associate/junior college,married,0,retired,"$110,000 to $129,999",middle class,none,never,strong democrat,extremely liberal,northeast,1.1712
4,19,male,other,not hispanic,no,high school,never married,0,working part time,"$150,000 to $169,999",middle class,protestant,several times a year,"independent (neither, no response)",,northeast,2.7358
5,70,female,white,not hispanic,yes,high school,divorced,3,retired,"$60,000 to $74,999",working class,catholic,nearly every week,"independent (neither, no response)","moderate, middle of the road",northeast,1.2729
6,53,male,other,"another hispanic, latino, or spanish origin",no,associate/junior college,married,2,"unemployed, laid off, looking for work","$7,000 to $7,999",working class,catholic,2-3 times a month,"independent (neither, no response)",,northeast,1.3394
7,48,female,white,not hispanic,yes,high school,married,6,working full time,"$170,000 or over",middle class,none,never,strong democrat,liberal,northeast,4.0706
8,30,female,white,not hispanic,yes,high school,divorced,1,in school,"$8,000 to $9,999",lower class,other,several times a year,other party,"moderate, middle of the road",northeast,0.5329
9,60,female,black,not hispanic,no,associate/junior college,married,2,working full time,"$170,000 or over",working class,protestant,every week,not very strong democrat,"moderate, middle of the road",northeast,2.7526
10,25,male,black,not hispanic,yes,high school,never married,0,"unemployed, laid off, looking for work",,middle class,catholic,less than once a year,"independent (neither, no response)","moderate, middle of the road",northeast,2.94
11,23,female,white,"another hispanic, latino, or spanish origin",no,bachelor's,never married,0,working full time,"$110,000 to $129,999",working class,none,never,strong democrat,liberal,northeast,7.1406
12,68,female,white,not hispanic,no,less than high school,widowed,1,retired,"$8,000 to $9,999",working class,none,never,"independent, close to democrat",extremely liberal,northeast,1.3907
13,43,female,white,not hispanic,yes,associate/junior college,divorced,2,working full time,"$60,000 to $74,999",middle class,catholic,never,other party,,northeast,0.989
14,37,female,white,not hispanic,yes,high school,divorced,1,working full time,"$75,000 to $89,999",working class,none,never,"independent (neither, no response)",extremely liberal,northeast,1.5988
15,63,female,white,not hispanic,yes,high school,divorced,3,working full time,"$17,500 to $19,999",lower class,catholic,every week,"independent (neither, no response)","moderate, middle of the road",northeast,1.3826
16,31,female,white,not hispanic,yes,graduate,married,1,working full time,"$90,000 to $109,999",middle class,catholic,about once or twice a year,strong democrat,slightly liberal,northeast,2.587
17,64,male,white,not hispanic,yes,bachelor's,married,2,working full time,"$170,000 or over",middle class,catholic,never,"independent, close to republican","moderate, middle of the road",northeast,1.28
18,,,white,,yes,high school,married,,retired,,middle class,catholic,,"independent (neither, no response)","moderate, middle of the road",northeast,1.1112
19,63,female,white,not hispanic,yes,less than high school,married,1,working part time,"$110,000 to $129,999",middle class,protestant,about once or twice a year,strong republican,slightly conservative,northeast,1.2931
20,41,female,white,"another hispanic, latino, or spanish origin",no,less than high school,divorced,2,working part time,"$60,000 to $74,999",working class,catholic,less than once a year,not very strong democrat,"moderate, middle of the road",northeast,2.2724
21,75,female,white,not hispanic,yes,high school,divorced,2,retired,"$25,000 to $29,999",middle class,catholic,several times a week,"independent (neither, no response)","moderate, middle of the road",northeast,0.3708
22,51,female,other,not hispanic,no,bachelor's,married,2,working full time,"$170,000 or over",middle class,catholic,2-3 times a month,strong democrat,liberal,northeast,3.6675
23,69,male,white,not hispanic,yes,high school,divorced,0,working full time,"$130,000 to $149,999",middle class,protestant,less than once a year,not very strong republican,"moderate, middle of the road",northeast,0.8435
24,48,male,white,"mexican, mexican american, chicano/a",no,less than high school,married,1,"with a job, but not at work because of temporary illness, vacation, strike","$110,000 to $129,999",working class,catholic,several times a year,strong republican,conservative,northeast,2.0659
25,58,male,other,"another hispanic, latino, or spanish origin",no,high school,married,2,working full time,"$150,000 to $169,999",working class,catholic,2-3 times a month,not very strong democrat,"moderate, middle of the road",northeast,0.9527
26,71,male,white,not hispanic,yes,bachelor's,married,3,working part time,"$170,000 or over",middle class,catholic,every week,not very strong republican,slightly conservative,northeast,3.0709
27,73,female,white,not hispanic,yes,graduate,married,2,retired,"$170,000 or over",upper class,jewish,about once or twice a year,strong democrat,"moderate, middle of the road",northeast,1.7998
28,74,female,white,not hispanic,yes,associate/junior college,married,3,retired,"$150,000 to $169,999",middle class,catholic,never,strong democrat,"moderate, middle of the road",northeast,0.4166
29,56,female,white,not hispanic,yes,associate/junior college,married,2,"with a job, but not at work because of temporary illness, vacation, strike","$30,000 to $34,999",middle class,catholic,about once a month,strong republican,conservative,northeast,0.9049
30,40,male,other,,no,bachelor's,married,3,working full time,,working class,,,not very strong democrat,slightly liberal,northeast,0.9947
31,55,female,white,not hispanic,yes,high school,married,1,"unemployed, laid off, looking for work",,working class,protestant,about once or twice a year,not very strong republican,slightly conservative,northeast,3.315
32,55,female,white,not hispanic,yes,graduate,married,2,"with a job, but not at work because of temporary illness, vacation, strike",,middle class,catholic,2-3 times a month,"independent (neither, no response)","moderate, middle of the road",northeast,2.9323
33,31,male,other,"another hispanic, latino, or spanish origin",yes,high school,never married,0,working full time,"$90,000 to $109,999",working class,protestant,never,not very strong democrat,,northeast,2.7205
34,61,female,white,not hispanic,yes,high school,never married,0,working full time,"$35,000 to $39,999",working class,none,never,other party,extremely liberal,northeast,0.9606
35,71,female,white,not hispanic,yes,high school,never married,0,working part time,"$40,000 to $49,999",lower class,protestant,never,"independent, close to republican",slightly liberal,northeast,0.3708
36,70,female,white,not hispanic,yes,bachelor's,married,,retired,,middle class,jewish,less than once a year,other party,slightly conservative,northeast,0.737
37,60,female,white,not hispanic,yes,bachelor's,married,1,keeping house,"$110,000 to $129,999",middle class,catholic,every week,other party,conservative,northeast,1.2007
38,57,female,other,not hispanic,yes,less than high school,never married,5,"unemployed, laid off, looking for work","$30,000 to $34,999",working class,protestant,2-3 times a month,not very strong democrat,slightly conservative,northeast,0.9536
39,37,female,other,puerto rican,yes,bachelor's,married,3,working part time,"$110,000 to $129,999",working class,catholic,several times a year,strong republican,extremely conservative,northeast,1.5846
40,26,male,white,puerto rican,yes,high school,never married,0,working full time,"$30,000 to $34,999",working class,none,never,"independent (neither, no response)",slightly conservative,northeast,1.9906
41,59,male,white,not hispanic,yes,high school,divorced,4,working full time,"$50,000 to $59,999",working class,catholic,never,"independent, close to republican",slightly conservative,northeast,2.2375
42,65,male,white,not hispanic,yes,high school,married,3,working part time,"$50,000 to $59,999",working class,catholic,less than once a year,not very strong democrat,"moderate, middle of the road",northeast,3.4716
43,71,female,white,not hispanic,no,graduate,married,2,working full time,"$75,000 to $89,999",middle class,catholic,2-3 times a month,"independent (neither, no response)","moderate, middle of the road",northeast,0.7921
44,41,female,white,not hispanic,yes,graduate,married,1,keeping house,"$170,000 or over",upper class,none,never,"independent, close to democrat",slightly liberal,northeast,0.6992
45,58,male,white,not hispanic,yes,bachelor's,married,3,working full time,"$150,000 to $169,999",middle class,jewish,less than once a year,not very strong republican,conservative,northeast,0.9105
46,79,male,white,not hispanic,yes,bachelor's,married,2,retired,"$90,000 to $109,999",middle class,catholic,about once or twice a year,"independent, close to democrat","moderate, middle of the road",northeast,0.8383
47,83,female,white,not hispanic,yes,graduate,widowed,0,retired,"$50,000 to $59,999",upper class,catholic,about once or twice a year,strong republican,"moderate, middle of the road",northeast,0.801
48,57,male,white,not hispanic,yes,bachelor's,married,2,working full time,"$170,000 or over",middle class,jewish,several times a year,not very strong democrat,"moderate, middle of the road",northeast,1.821
49,,male,white,not hispanic,yes,graduate,married,2,retired,"$170,000 or over",upper class,jewish,never,"independent, close to democrat",slightly liberal,northeast,2.0473
50,65,male,white,not hispanic,no,less than high school,married,2,working full time,"$150,000 to $169,999",middle class,catholic,several times a year,"independent (neither, no response)",conservative,northeast,1.5531
51,74,female,white,not hispanic,yes,graduate,married,2,retired,"$170,000 or over",middle class,jewish,several times a week,strong democrat,"moderate, middle of the road",northeast,0.737
52,61,female,white,not hispanic,yes,graduate,married,0,working full time,"$170,000 or over",working class,protestant,2-3 times a month,strong republican,slightly conservative,northeast,0.8005
53,24,female,white,not hispanic,yes,bachelor's,never married,0,working full time,"$75,000 to $89,999",middle class,catholic,less than once a year,not very strong democrat,slightly liberal,northeast,0.4494
54,61,male,black,not hispanic,yes,less than high school,never married,0,"unemployed, laid off, looking for work","$3,000 to $3,999",middle class,protestant,about once or twice a year,strong democrat,extremely liberal,northeast,0.4212
55,56,female,other,not hispanic,no,bachelor's,never married,0,"with a job, but not at work because of temporary illness, vacation, strike","$10,000 to $12,499",lower class,protestant,less than once a year,"independent, close to democrat",slightly liberal,northeast,0.4455
56,72,female,white,not hispanic,yes,bachelor's,never married,0,retired,,middle class,protestant,never,not very strong democrat,slightly liberal,northeast,0.328
57,,female,white,not hispanic,no,high school,married,2,keeping house,,middle class,protestant,about once a month,"independent (neither, no response)",,northeast,0.9727
58,49,female,white,not hispanic,yes,bachelor's,divorced,0,working full time,"$75,000 to $89,999",middle class,protestant,,strong democrat,liberal,northeast,0.3112
59,78,male,white,not hispanic,yes,high school,married,2,retired,"$170,000 or over",working class,catholic,never,"independent (neither, no response)","moderate, middle of the road",northeast,0.9477
60,63,female,other,"another hispanic, latino, or spanish origin",no,high school,never married,1,"with a job, but not at work because of temporary illness, vacation, strike","$12,500 to $14,999",middle class,catholic,2-3 times a month,"independent (neither, no response)",liberal,northeast,0.3727
61,57,female,white,not hispanic,yes,graduate,never married,0,working full time,"$170,000 or over",upper class,none,never,strong democrat,liberal,northeast,0.87
62,26,male,other,not hispanic,no,bachelor's,never married,0,working full time,"$170,000 or over",upper class,protestant,every week,"independent, close to democrat",slightly liberal,northeast,0.6394
63,89+,female,white,not hispanic,no,high school,married,2,retired,"$7,000 to $7,999",lower class,jewish,several times a week,not very strong republican,conservative,northeast,0.8955
64,79,male,white,not hispanic,yes,high school,divorced,1,working full time,"$60,000 to $74,999",middle class,protestant,never,strong republican,extremely conservative,northeast,0.4217
65,22,female,white,not hispanic,yes,bachelor's,never married,0,working full time,"$170,000 or over",middle class,none,never,strong democrat,liberal,northeast,0.8988
66,49,female,other,"another hispanic, latino, or spanish origin",no,graduate,married,2,"unemployed, laid off, looking for work","$170,000 or over",middle class,catholic,never,"independent, close to democrat","moderate, middle of the road",northeast,0.7902
67,52,female,white,not hispanic,yes,graduate,never married,,working full time,,middle class,catholic,nearly every week,strong democrat,liberal,northeast,0.3562
68,70,male,white,not hispanic,yes,graduate,divorced,0,retired,"$75,000 to $89,999",middle class,jewish,several times a year,not very strong democrat,slightly liberal,northeast,0.3731
69,23,male,other,"another hispanic, latino, or spanish origin",yes,high school,never married,0,working part time,,middle class,none,never,strong democrat,liberal,northeast,1.493
70,25,female,other,not hispanic,yes,high school,never married,0,working part time,,middle class,hinduism,several times a year,"independent (neither, no response)",slightly conservative,northeast,1.7735
71,41,female,other,"another hispanic, latino, or spanish origin",no,graduate,married,2,"unemployed, laid off, looking for work","$60,000 to $74,999",working class,none,less than once a year,not very strong republican,"moderate, middle of the road",northeast,0.6472
72,37,male,other,not hispanic,no,bachelor's,never married,0,working part time,"$40,000 to $49,999",working class,none,never,not very strong democrat,slightly conservative,northeast,0.4771
73,32,male,white,not hispanic,yes,high school,married,0,working full time,"$3,000 to $3,999",middle class,jewish,about once a month,"independent (neither, no response)",conservative,northeast,2.3664
74,32,male,other,not hispanic,yes,bachelor's,never married,0,working full time,"$90,000 to $109,999",middle class,hinduism,every week,strong democrat,liberal,northeast,0.8877
75,54,male,black,not hispanic,yes,high school,never married,4,working full time,"$50,000 to $59,999",working class,protestant,several times a week,not very strong republican,"moderate, middle of the road",northeast,2.0242
76,56,male,black,not hispanic,yes,high school,never married,1,working part time,"$10,000 to $12,499",middle class,orthodox-christian,several times a week,"independent, close to democrat",extremely liberal,northeast,0.4144
77,28,female,white,not hispanic,yes,bachelor's,never married,0,working full time,"$170,000 or over",middle class,catholic,never,"independent, close to republican",slightly conservative,northeast,0.8988
78,46,female,white,not hispanic,yes,high school,never married,0,"unemployed, laid off, looking for work","$170,000 or over",middle class,none,about once or twice a year,strong democrat,liberal,northeast,0.3518
79,20,female,other,"mexican, mexican american, chicano/a",yes,high school,never married,0,in school,,lower class,protestant,every week,"independent (neither, no response)",conservative,northeast,1.3125
80,31,male,white,not hispanic,yes,graduate,never married,0,working part time,"$30,000 to $34,999",middle class,other,never,"independent, close to democrat",liberal,northeast,0.7629
81,49,male,,"another hispanic, latino, or spanish origin",no,less than high school,never married,0,working full time,"$50,000 to $59,999",middle class,protestant,never,strong republican,"moderate, middle of the road",northeast,0.3764
82,59,female,black,"another hispanic, latino, or spanish origin",no,bachelor's,separated,2,working full time,"$35,000 to $39,999",lower class,catholic,less than once a year,strong republican,conservative,northeast,1.6105
83,65,male,white,not hispanic,no,less than high school,married,2,"unemployed, laid off, looking for work","$35,000 to $39,999",working class,none,never,"independent (neither, no response)",liberal,northeast,1.0354
84,74,female,black,"another hispanic, latino, or spanish origin",no,less than high school,married,5,keeping house,"$6,000 to $6,999",lower class,catholic,several times a week,"independent (neither, no response)","moderate, middle of the road",northeast,0.7838
85,47,female,,"another hispanic, latino, or spanish origin",no,bachelor's,separated,3,keeping house,,middle class,catholic,never,"independent (neither, no response)","moderate, middle of the road",northeast,0.576
86,62,female,other,,yes,associate/junior college,married,8+,keeping house,"$60,000 to $74,999",lower class,protestant,about once or twice a year,strong democrat,"moderate, middle of the road",northeast,0.3544
87,37,female,other,"another hispanic, latino, or spanish origin",no,high school,separated,3,working part time,"$1,000 to $2,999",working class,catholic,nearly every week,not very strong democrat,slightly conservative,northeast,0.8569
88,50,female,,puerto rican,no,high school,divorced,2,working full time,"$50,000 to $59,999",working class,catholic,several times a year,not very strong democrat,liberal,northeast,0.3727
89,34,female,,puerto rican,,associate/junior college,never married,3,working part time,"$50,000 to $59,999",lower class,catholic,less than once a year,"independent (neither, no response)",slightly conservative,northeast,0.7972
90,36,male,other,not hispanic,no,graduate,married,0,working part time,"$20,000 to $22,499",working class,muslim/islam,every week,strong democrat,extremely liberal,northeast,1.309
91,75,female,black,not hispanic,yes,high school,widowed,2,retired,"$50,000 to $59,999",middle class,protestant,every week,not very strong democrat,slightly liberal,northeast,0.3354
92,41,female,,"another hispanic, latino, or spanish origin",yes,high school,divorced,3,other,"$25,000 to $29,999",lower class,catholic,every week,"independent (neither, no response)",conservative,northeast,0.3029
93,36,female,other,not hispanic,no,less than high school,married,3,keeping house,"$110,000 to $129,999",middle class,muslim/islam,every week,"independent, close to democrat","moderate, middle of the road",northeast,1.0829
94,41,male,other,not hispanic,no,high school,married,8+,working full time,,,muslim/islam,2-3 times a month,"independent (neither, no response)",,northeast,1.3732
95,79,male,white,not hispanic,yes,high school,married,2,retired,"$75,000 to $89,999",middle class,none,never,"independent, close to democrat",liberal,northeast,0.4738
96,26,male,black,not hispanic,yes,high school,never married,0,working full time,"$30,000 to $34,999",lower class,protestant,never,"independent (neither, no response)","moderate, middle of the road",northeast,0.5228
97,55,female,black,not hispanic,yes,less than high school,never married,1,retired,"$10,000 to $12,499",middle class,catholic,about once or twice a year,strong democrat,,northeast,0.3703
98,34,male,,"another hispanic, latino, or spanish origin",yes,high school,never married,0,working full time,,middle class,none,never,strong republican,slightly liberal,northeast,0.9068
99,54,male,black,not hispanic,yes,high school,never married,0,working full time,"$90,000 to $109,999",working class,catholic,about once or twice a year,not very strong democrat,slightly conservative,northeast,0.8288
100,61,female,black,not hispanic,yes,high school,never married,0,working full time,"$150,000 to $169,999",middle class,protestant,never,"independent (neither, no response)",slightly liberal,northeast,0.3643
101,72,female,black,not hispanic,yes,high school,never married,0,retired,"$60,000 to $74,999",middle class,protestant,2-3 times a month,strong democrat,slightly liberal,northeast,0.3354
102,54,female,black,not hispanic,yes,high school,never married,0,working full time,"$110,000 to $129,999",working class,none,about once or twice a year,not very strong democrat,extremely liberal,northeast,0.7867
103,57,female,black,"another hispanic, latino, or spanish origin",yes,graduate,separated,1,"with a job, but not at work because of temporary illness, vacation, strike","$90,000 to $109,999",middle class,catholic,about once a month,strong democrat,liberal,northeast,0.3067
104,60,male,other,"another hispanic, latino, or spanish origin",no,bachelor's,married,0,working full time,,middle class,catholic,never,not very strong republican,slightly conservative,northeast,1.2641
105,86,female,,not hispanic,no,graduate,never married,0,retired,,middle class,protestant,several times a year,strong democrat,liberal,northeast,1.0329
106,66,male,white,not hispanic,yes,high school,married,2,retired,"$90,000 to $109,999",middle class,catholic,about once or twice a year,strong republican,extremely conservative,northeast,0.9477
107,55,female,other,"another hispanic, latino, or spanish origin",no,high school,widowed,3,working full time,"$50,000 to $59,999",middle class,catholic,2-3 times a month,not very strong republican,slightly liberal,northeast,0.3727
108,48,male,black,not hispanic,no,high school,married,2,working full time,"$90,000 to $109,999",working class,catholic,every week,strong democrat,"moderate, middle of the road",northeast,0.4372
109,34,female,black,"another hispanic, latino, or spanish origin",no,high school,never married,2,working part time,"$8,000 to $9,999",working class,protestant,about once or twice a year,not very strong democrat,liberal,northeast,0.3509
110,32,female,other,"another hispanic, latino, or spanish origin",no,associate/junior college,divorced,0,working full time,"$35,000 to $39,999",working class,catholic,every week,not very strong democrat,extremely liberal,northeast,0.3509
111,68,female,other,not hispanic,yes,high school,divorced,0,retired,"$10,000 to $12,499",lower class,protestant,never,strong democrat,conservative,northeast,0.3621
112,35,female,black,not hispanic,yes,high school,never married,0,keeping house,,lower class,none,never,"independent (neither, no response)",slightly liberal,northeast,0.8376
113,44,female,white,puerto rican,yes,less than high school,never married,5,working part time,"$20,000 to $22,499",working class,catholic,several times a year,"independent (neither, no response)",,northeast,0.7519
114,48,male,black,not hispanic,no,high school,separated,2,keeping house,"$30,000 to $34,999",working class,protestant,several times a year,"independent (neither, no response)","moderate, middle of the road",northeast,0.3891
115,43,male,,puerto rican,yes,high school,divorced,7,other,,lower class,none,every week,"independent (neither, no response)",conservative,northeast,0.8415
116,43,female,black,puerto rican,yes,high school,separated,4,in school,"$12,500 to $14,999",lower class,catholic,several times a year,not very strong democrat,"moderate, middle of the road",northeast,0.3029
117,45,female,white,puerto rican,yes,high school,separated,6,"unemployed, laid off, looking for work","$3,000 to $3,999",lower class,none,every week,not very strong democrat,,northeast,0.7398
118,63,female,,puerto rican,yes,high school,never married,1,retired,,working class,catholic,less than once a year,not very strong democrat,liberal,northeast,0.3468
119,27,male,,puerto rican,yes,high school,never married,0,"unemployed, laid off, looking for work","$30,000 to $34,999",lower class,protestant,several times a year,"independent (neither, no response)",,northeast,1.2154
120,37,female,other,"another hispanic, latino, or spanish origin",no,bachelor's,divorced,2,working part time,"$60,000 to $74,999",middle class,catholic,nearly every week,strong democrat,,northeast,0.6207
121,60,female,black,not hispanic,yes,high school,married,1,retired,,,protestant,2-3 times a month,"independent, close to democrat","moderate, middle of the road",northeast,0.8187
122,22,male,black,not hispanic,yes,less than high school,,4,"unemployed, laid off, looking for work","under $1,000",middle class,none,never,strong republican,extremely liberal,northeast,1.0629
123,44,male,black,not hispanic,yes,less than high school,never married,0,"unemployed, laid off, looking for work","under $1,000",middle class,protestant,less than once a year,"independent, close to democrat","moderate, middle of the road",northeast,0.3679
124,24,male,other,not hispanic,no,high school,never married,0,working full time,"$90,000 to $109,999",middle class,protestant,several times a year,"independent, close to republican",extremely liberal,northeast,1.4456
125,51,male,black,,yes,high school,never married,6,"with a job, but not at work because of temporary illness, vacation, strike","$10,000 to $12,499",middle class,none,less than once a year,strong democrat,"moderate, middle of the road",northeast,0.3945
126,39,female,black,not hispanic,yes,high school,never married,2,working part time,"$3,000 to $3,999",working class,protestant,every week,strong republican,liberal,northeast,0.343
127,55,male,black,not hispanic,yes,bachelor's,never married,1,working full time,,working class,protestant,2-3 times a month,strong democrat,liberal,northeast,0.9666
128,48,female,white,puerto rican,yes,less than high school,never married,4,other,"$10,000 to $12,499",upper class,catholic,several times a week,not very strong republican,conservative,northeast,0.3079
129,60,male,white,not hispanic,yes,bachelor's,married,0,working full time,"$170,000 or over",middle class,none,never,"independent, close to democrat",liberal,northeast,0.9105
130,60,female,white,not hispanic,yes,bachelor's,divorced,2,working full time,"$150,000 to $169,999",middle class,protestant,less than once a year,not very strong republican,slightly conservative,northeast,0.3562
131,70,female,other,"another hispanic, latino, or spanish origin",no,bachelor's,widowed,1,keeping house,,middle class,orthodox-christian,several times a year,"independent, close to democrat",conservative,northeast,2.2241
132,65,male,white,not hispanic,yes,graduate,married,2,retired,"$110,000 to $129,999",working class,catholic,about once a month,strong republican,"moderate, middle of the road",northeast,2.0473
133,54,male,black,not hispanic,yes,high school,never married,0,working full time,"under $1,000",lower class,none,never,not very strong democrat,slightly liberal,northeast,1.0121
134,45,female,black,cuban,yes,less than high school,never married,4,keeping house,"$12,500 to $14,999",upper class,catholic,about once or twice a year,"independent, close to democrat",liberal,northeast,1.5039
135,38,female,other,"mexican, mexican american, chicano/a",yes,high school,married,5,working part time,"$20,000 to $22,499",middle class,protestant,every week,"independent, close to republican",slightly liberal,northeast,1.1003
136,22,male,other,"another hispanic, latino, or spanish origin",no,less than high school,never married,1,working full time,"$1,000 to $2,999",lower class,catholic,about once or twice a year,"independent (neither, no response)",conservative,northeast,1.6312
137,76,female,white,not hispanic,yes,bachelor's,widowed,1,retired,"$90,000 to $109,999",middle class,protestant,nearly every week,not very strong republican,"moderate, middle of the road",northeast,0.6559
138,42,male,white,not hispanic,yes,graduate,married,3,working full time,"$170,000 or over",upper class,catholic,several times a year,strong democrat,liberal,northeast,1.9423
139,89+,female,white,not hispanic,yes,bachelor's,widowed,2,keeping house,"$170,000 or over",upper class,none,about once or twice a year,not very strong republican,extremely conservative,northeast,0.328
140,89+,female,white,not hispanic,yes,high school,widowed,5,retired,"$75,000 to $89,999",middle class,catholic,less than once a year,strong democrat,slightly liberal,northeast,1.483
141,56,female,white,not hispanic,yes,bachelor's,married,3,keeping house,,middle class,catholic,several times a year,not very strong republican,"moderate, middle of the road",northeast,1.2007
142,55,female,black,not hispanic,yes,associate/junior college,never married,1,working full time,"$75,000 to $89,999",working class,other,never,"independent (neither, no response)","moderate, middle of the road",northeast,0.3643
143,41,male,white,not hispanic,yes,graduate,married,3,working full time,"$170,000 or over",upper class,protestant,less than once a year,not very strong democrat,"moderate, middle of the road",northeast,0.7953
144,53,male,white,not hispanic,yes,bachelor's,married,2,"unemployed, laid off, looking for work","$170,000 or over",middle class,none,less than once a year,not very strong democrat,"moderate, middle of the road",northeast,0.9105
145,60,female,white,not hispanic,yes,graduate,divorced,2,working full time,"$40,000 to $49,999",middle class,orthodox-christian,several times a year,strong democrat,extremely liberal,northeast,0.3562
146,72,female,white,"another hispanic, latino, or spanish origin",yes,high school,married,2,retired,,middle class,catholic,several times a year,not very strong republican,"moderate, middle of the road",northeast,0.7174
147,72,male,white,not hispanic,yes,bachelor's,divorced,1,retired,"$90,000 to $109,999",middle class,catholic,less than once a year,"independent, close to republican",slightly conservative,northeast,0.9111
148,72,female,white,not hispanic,yes,bachelor's,divorced,3,retired,"$10,000 to $12,499",upper class,none,nearly every week,strong democrat,slightly liberal,northeast,0.328
149,89+,female,white,not hispanic,yes,bachelor's,widowed,3,retired,"$50,000 to $59,999",middle class,catholic,several times a year,"independent, close to democrat","moderate, middle of the road",northeast,0.328
150,71,female,white,not hispanic,yes,high school,married,3,retired,"$110,000 to $129,999",middle class,catholic,several times a year,not very strong republican,conservative,northeast,2.0347
151,74,female,white,not hispanic,yes,bachelor's,widowed,3,retired,"$25,000 to $29,999",middle class,protestant,less than once a year,"independent, close to democrat","moderate, middle of the road",northeast,0.328
152,30,female,white,not hispanic,yes,bachelor's,never married,0,"with a job, but not at work because of temporary illness, vacation, strike",,working class,none,about once or twice a year,strong republican,conservative,northeast,1.006
153,77,female,white,not hispanic,yes,bachelor's,widowed,0,retired,,upper class,protestant,never,strong democrat,liberal,northeast,0.801
154,73,female,white,not hispanic,yes,high school,divorced,2,retired,"$90,000 to $109,999",working class,protestant,never,strong democrat,slightly conservative,northeast,1.811
155,65,female,white,not hispanic,yes,graduate,married,2,working part time,"$22,500 to $24,999",middle class,protestant,less than once a year,strong democrat,slightly liberal,northeast,0.737
156,59,male,white,not hispanic,yes,bachelor's,never married,3,working full time,"$170,000 or over",working class,catholic,about once or twice a year,"independent, close to republican","moderate, middle of the road",northeast,1.2156
157,49,male,white,not hispanic,yes,high school,married,0,working part time,"$170,000 or over",middle class,protestant,several times a year,"independent, close to republican",slightly conservative,northeast,2.1958
158,64,female,white,not hispanic,yes,graduate,married,2,working full time,"$130,000 to $149,999",middle class,catholic,every week,not very strong republican,"moderate, middle of the road",northeast,0.8005
159,70,male,white,not hispanic,yes,graduate,married,1,retired,"$8,000 to $9,999",upper class,catholic,about once or twice a year,"independent (neither, no response)","moderate, middle of the road",northeast,0.8383
160,68,male,white,not hispanic,yes,high school,married,0,retired,"$90,000 to $109,999",middle class,none,never,"independent, close to democrat",extremely liberal,northeast,2.3144
161,31,male,white,not hispanic,no,graduate,married,1,working full time,"$130,000 to $149,999",middle class,none,about once or twice a year,strong democrat,liberal,northeast,0.9213
162,36,female,white,not hispanic,yes,bachelor's,married,2,keeping house,"$170,000 or over",middle class,catholic,several times a year,not very strong democrat,slightly liberal,northeast,0.7535
163,36,male,white,not hispanic,yes,high school,never married,2,working part time,"$170,000 or over",middle class,none,never,strong democrat,liberal,northeast,0.8624
164,45,female,white,not hispanic,yes,bachelor's,married,2,working part time,,upper class,none,several times a year,not very strong republican,"moderate, middle of the road",northeast,0.6992
165,67,male,white,not hispanic,yes,graduate,married,2,working part time,"$150,000 to $169,999",middle class,protestant,every week,"independent, close to republican",conservative,northeast,0.7461
166,52,female,white,not hispanic,yes,bachelor's,married,4,working part time,"$170,000 or over",middle class,catholic,2-3 times a month,"independent, close to republican",slightly conservative,northeast,1.6009
167,35,female,other,"another hispanic, latino, or spanish origin",no,graduate,widowed,0,working full time,"$90,000 to $109,999",middle class,none,never,"independent (neither, no response)",slightly liberal,northeast,0.3104
168,28,female,black,not hispanic,no,graduate,never married,0,working full time,"$90,000 to $109,999",middle class,catholic,less than once a year,"independent (neither, no response)","moderate, middle of the road",northeast,2.1346
169,41,female,black,not hispanic,yes,graduate,never married,0,working full time,"$75,000 to $89,999",working class,none,never,not very strong democrat,liberal,northeast,0.2815
170,23,female,white,not hispanic,yes,graduate,never married,0,working full time,"$75,000 to $89,999",working class,protestant,never,"independent, close to democrat",slightly liberal,northeast,0.4494
171,27,female,black,,no,bachelor's,never married,0,in school,"$20,000 to $22,499",,protestant,several times a year,"independent (neither, no response)","moderate, middle of the road",northeast,0.416
172,55,male,other,"mexican, mexican american, chicano/a",no,bachelor's,married,0,working part time,"$30,000 to $34,999",working class,protestant,every week,"independent (neither, no response)","moderate, middle of the road",northeast,2.0582
173,69,female,white,not hispanic,no,less than high school,widowed,1,retired,,,catholic,nearly every week,"independent, close to democrat",,northeast,0.4051
174,65,female,white,not hispanic,yes,high school,never married,0,retired,"$60,000 to $74,999",working class,none,never,strong democrat,liberal,northeast,0.7415
175,38,female,black,not hispanic,no,associate/junior college,married,3,working full time,"$170,000 or over",working class,protestant,several times a year,"independent, close to democrat",conservative,northeast,1.0115
176,37,male,white,not hispanic,yes,high school,never married,0,working full time,"$40,000 to $49,999",working class,catholic,never,"independent, close to republican",conservative,northeast,0.4312
177,70,male,white,not hispanic,yes,high school,separated,2,retired,"$60,000 to $74,999",working class,catholic,about once or twice a year,strong democrat,liberal,northeast,1.03
178,62,male,white,not hispanic,yes,high school,married,3,retired,"$60,000 to $74,999",middle class,catholic,never,strong republican,extremely conservative,northeast,1.2569
